Senatorial District,State,LGA,unique_lga
Ikot Ekpene Senatorial District,Akwa-Ibom,Essien Udim,akwa_ibom_essien_udim
Ikot Ekpene Senatorial District,Akwa-Ibom,Etim-Ekpo,akwa_ibom_etim_eko
Ikot Ekpene Senatorial District,Akwa-Ibom,Ikono,akwa_ibom_ikono
Ikot Ekpene Senatorial District,Akwa-Ibom,Ikot-Ekpene,akwa_ibom_ikot_ekpene
Ikot Ekpene Senatorial District,Akwa-Ibom,Obot Akara,akwa_ibom_obot_akara
Ikot Ekpene Senatorial District,Akwa-Ibom,Ukanafun,akwa_ibom_ukanafun
Ikot Ekpene Senatorial District,Akwa-Ibom,Oruk_Anam,akwa_ibom_oruk_anam
Ikot Ekpene Senatorial District,Akwa-Ibom,Ika,akwa_ibom_ika
Ikot Ekpene Senatorial District,Akwa-Ibom,Ini,akwa_ibom_ini
Cross-River Central Senatorial District,Cross-River ,Abi,cross_river_abi
Cross-River Central Senatorial District,Cross-River ,Boki,cross_river_boki
Cross-River Central Senatorial District,Cross-River ,Etung,cross_river_etung
Cross-River Central Senatorial District,Cross-River ,Ikom,cross_river_ikom
Cross-River Central Senatorial District,Cross-River ,Obubra,cross_river_obubra
Cross-River Central Senatorial District,Cross-River ,Yakurr,cross_river_yakurr
Cross-River North Senatorial District,Cross-River ,Bekwara,cross_river_bekwara
Cross-River North Senatorial District,Cross-River ,Obanliku,cross_river_obanliku
Cross-River North Senatorial District,Cross-River ,Obudu,cross_river_obudu
Cross-River North Senatorial District,Cross-River ,Ogoja,cross_river_ogoja
Cross-River North Senatorial District,Cross-River ,Yala,cross_river_yala
Cross-River South Senatorial District,Cross-River ,Calabar Municipal,cross_river_calabar_municipal
Cross-River South Senatorial District,Cross-River ,Calabar South,cross_river_calabar_south
Cross-River South Senatorial District,Cross-River ,Baise,cross_river_biase
Cross-River South Senatorial District,Cross-River ,Akamkpa,cross_river_akamkpa
Cross-River South Senatorial District,Cross-River ,Akpabuyo,cross_river_akpabuyo
Cross-River South Senatorial District,Cross-River ,Bakassi,cross_river_bakassi
Cross-River South Senatorial District,Cross-River ,Odukpani,cross_river_odukpani
Bayelsa West Senatorial District,Bayelsa,Ekeremor,bayelsa_ekeremor
Bayelsa West Senatorial District,Bayelsa,Sagbama,bayelsa_sagbama
Bayelsa Central Senatorial District,Bayelsa,Kolokuma/Opokuma,bayelsa_kolokuma
Bayelsa Central Senatorial District,Bayelsa,Southern Ijaw,bayelsa_southern_ijaw
Bayelsa Central Senatorial District,Bayelsa,Yenagoa,bayelsa_yenagoa
Bayelsa East Senatorial District,Bayelsa,Brass,bayelsa_brass
Bayelsa East Senatorial District,Bayelsa,Nembe,bayelsa_nembe
Bayelsa East Senatorial District,Bayelsa,Ogbia,bayelsa_ogbia
Delta Central Senatorial District,Delta,Ethiope East,bayelsa_ethiope_east
Delta Central Senatorial District,Delta,Ethiope West,bayelsa_ethiope_west
Delta Central Senatorial District,Delta,Okpe,bayelsa_okpe
Delta Central Senatorial District,Delta,Sapele,bayelsa_sapele
Delta Central Senatorial District,Delta,Udu,bayelsa_udu
Delta Central Senatorial District,Delta,Ughelli North,bayelsa_ughelli_north
Delta Central Senatorial District,Delta,Ughelli South,bayelsa_ughelli_south
Delta Central Senatorial District,Delta,Uvwie,bayelsa_uvwie
Delta North Senatorial District,Delta,Ukwuani,bayelsa_ukwuani
Delta North Senatorial District,Delta,Aniocha North,bayelsa_aniocha_north
Delta North Senatorial District,Delta,Aniocha South,bayelsa_aniocha_south
Delta North Senatorial District,Delta,Oshimili North,bayelsa_oshimili_north
Delta North Senatorial District,Delta,Ika North East,bayelsa_ika_north_east
Delta North Senatorial District,Delta,Ika South,bayelsa_ika_south
Delta North Senatorial District,Delta,Oshimili South,bayelsa_oshimili_south
Delta North Senatorial District,Delta,Ndokwa East ,bayelsa_ndokwa_east
Delta North Senatorial District,Delta,Ndokwa West,bayelsa_ndokwa_west
Delta South Senatorial District,Delta,Bomadi,bayelsa_ogbia
Delta South Senatorial District,Delta,Burutu,bayelsa_burutu
Delta South Senatorial District,Delta,Isoko North,bayelsa_isoko_north
Delta South Senatorial District,Delta,Isoko South,bayelsa_isoko_south
Delta South Senatorial District,Delta,Patani,bayelsa_patani
Delta South Senatorial District,Delta,Warri North,bayelsa_warri_north
Delta South Senatorial District,Delta,Warri South,bayelsa_warri_south
Delta South Senatorial District,Delta,Warri South West,bayelsa_warri_south_west
Ekiti Central,Ekiti,Ado_ekiti,ekiti_ado_ekiti
Ekiti Central,Ekiti,Efon,ekiti_efon
Ekiti Central,Ekiti,Ijero,ekiti_ijero
Ekiti Central,Ekiti,Irepodun Ifelodun,ekiti_irepodun_ifelodun
Ekiti Central,Ekiti,Ekiti West,ekiti_ekiti_west
Ekiti North,Ekiti,Ilejemeje,ekiti_ilejemeje
Ekiti North,Ekiti,Ikole,ekiti_ikole
Ekiti North,Ekiti,Ido Osi,ekiti_ido_osi
Ekiti North,Ekiti,Moba,ekiti_moba
Ekiti North,Ekiti,Oye,ekiti_oye
Ekiti South,Ekiti,Ise Orun,ekiti_ise_orun
Ekiti South,Ekiti,Gbonyin,ekiti_gbonyin
Ekiti South,Ekiti,Ikere,ekiti_ikere
Ekiti South,Ekiti,Ekiti East,ekiti_ekiti_east
Ekiti South,Ekiti,Ekiti South West,ekiti_ekiti_south_west
Ekiti South,Ekiti,Emure,ekiti_emure
Lagos Central,Lagos,Surulere,lagos_surulere
Lagos Central,Lagos,Lagos Mainland,lagos_lagos_mainland
Lagos Central,Lagos,Apapa,lagos_apapa
Lagos Central,Lagos,Lagos Island,lagos_lagos_island
Lagos Central,Lagos,Mushin,lagos_mushin
Lagos Central,Lagos,Eti Osa,lagos_eti_osa
Lagos East,Lagos,Kosofe,lagos_kosofe
Lagos East,Lagos,Ikorodu,lagos_ikorodu
Lagos East,Lagos,Shomolu,lagos_shomolu
Lagos East,Lagos,Epe,lagos_epe
Lagos East,Lagos,Ibeju Lekki,lagos_ibeju_lekki
Lagos West,Lagos,Alimosho,lagos_alimosho
Lagos West,Lagos,Amuwo Odofin,lagos_amuwo_odofin
Lagos West,Lagos,Oshodi Isolo,lagos_oshodi_isolo
Lagos West,Lagos,Ajeromi Ifelodun,lagos_ajeromi_ifelodun
Lagos West,Lagos,Badagry,lagos_badagry
Lagos West,Lagos,Ojo,lagos_ojo
Lagos West,Lagos,Ifako Ijaye,lagos_ifako_ijaye
Lagos West,Lagos,Agege,lagos_agege
Lagos West,Lagos,Ikeja,lagos_ikeja
Ogun Central,Ogun,Ifo,ogun_ifo
Ogun Central,Ogun,Obafemi Owode,ogun_obafemi_owode
Ogun Central,Ogun,Abeokuta South,ogun_abeokuta_south
Ogun Central,Ogun,Abeokuta North,ogun_abeokuta_north
Ogun Central,Ogun,Ewekoro,ogun_ewekoro
Ogun Central,Ogun,Odeda,ogun_odeda
Ogun East,Ogun,Ijebu Ode,ogun_ijebu_ode
Ogun East,Ogun,Ijebu East,ogun_ijebu_east
Ogun East,Ogun,Shagamu,ogun_shagamu
Ogun East,Ogun,Ijebu North,ogun_ijebu_north
Ogun East,Ogun,Ijebu North East,ogun_ijebu_north_east
Ogun East,Ogun,Ikenne,ogun_ikenne
Ogun East,Ogun,Odogbolu,ogun_odogbolu
Ogun East,Ogun,Ogun Waterside,ogun_ogun_waterside
Ogun East,Ogun,Remo North,ogun_remo_north
Ogun West,Ogun,Ado-Odo Ota,ogun_ado_odo_ota
Ogun West,Ogun,Egbado North,ogun_egbado_north
Ogun West,Ogun,Egbado South,ogun_egbado_south
Ogun West,Ogun,Ipokia,ogun_ipokia
Ogun West,Ogun,Imeko Afon,ogun_imeko_afon
Ondo Central,Ondo,Akure South,ondo_akure_south
Ondo Central,Ondo,Ondo West,ondo_ondo_west
Ondo Central,Ondo,Ifedore,ondo_ifedore
Ondo Central,Ondo,Idanre,ondo_idanre
Ondo Central,Ondo,Akure North,ondo_akure_north
Ondo Central,Ondo,Ondo East,ondo_ondo_east
Ondo North,Ondo,Akoko South West,ondo_akoko_south_west
Ondo North,Ondo,Akoko North East,ondo_akoko_north_east
Ondo North,Ondo,Akoko North West,ondo_akoko_north_west
Ondo North,Ondo,Owo,ondo_owo
Ondo North,Ondo,Ose,ondo_ose
Ondo North,Ondo,Akoko South East,ondo_akoko_south_east
Ondo South,Ondo,Irele,ondo_irele
Ondo South,Ondo,Okitipupa,ondo_okitipupa
Ondo South,Ondo,Ese Odo,ondo_ese_odo
Ondo South,Ondo,Ilaje,ondo_ijaye
Ondo South,Ondo,Odigbo,ondo_odigbo
Ondo South,Ondo,Ile Oluji Okeigbo,ondo_ile_oluji_okeigbo
Osun Central,Osun,Osogbo,osun_osogbo
Osun Central,Osun,Olorunda,osun_olorunda
Osun Central,Osun,Ifelodun,osun_ifelodun
Osun Central,Osun,Ila,osun_ila
Osun Central,Osun,Orolu,osun_orolu
Osun Central,Osun,Boripe,osun_boripe
Osun Central,Osun,Boluwaduro,osun_boluwaduro
Osun Central,Osun,Odo Otin,osun_odo_otin
Osun Central,Osun,Ifedayo,osun_ifedayo
Osun Central,Osun,Irepodun,osun_irepodun
Osun East,Osun,Ilesha East,osun_ilesha_east
Osun East,Osun,Ife East,osun_ife_east
Osun East,Osun,Atakunmosa West,osun_atakunmosa_west
Osun East,Osun,Oriade,osun_oriade
Osun East,Osun,Obokun,osun_obokun
Osun East,Osun,Ilesha West,osun_ilesha_west
Osun East,Osun,Ife Central,osun_ife_central
Osun East,Osun,Ife South,osun_ife_south
Osun East,Osun,Atakunmosa East,osun_atakunmosa_east
Osun East,Osun,Ife North,osun_ife_north
Osun West,Osun,Irewole,osun_irewole
Osun West,Osun,Ede South,osun_ede_south
Osun West,Osun,Ejigbo,osun_ejigbo
Osun West,Osun,Egbedore,osun_egbedore
Osun West,Osun,Aiyedade,osun_ayedaade
Osun West,Osun,Iwo,osun_iwo
Osun West,Osun,Isokan,osun_isokan
Osun West,Osun,Ede North,osun_ede_north
Osun West,Osun,Aiyedire,osun_ayedire
Osun West,Osun,Ola Oluwa,osun_ola_oluwa
Oyo Central,Oyo,Ona Ara,oyo_ona_ara
Oyo Central,Oyo,Oyo West,oyo_oyo_east
Oyo Central,Oyo,Oluyole,oyo_oluyole
Oyo Central,Oyo,Akinyele,oyo_akinyele
Oyo Central,Oyo,Lagelu,oyo_lagelu
Oyo Central,Oyo,Ogo Oluwa,oyo_ogo_oluwa
Oyo Central,Oyo,Egbeda,oyo_egbeda
Oyo Central,Oyo,Surulere,oyo_surulere
Oyo Central,Oyo,Oyo East,oyo_oyo_east
Oyo Central,Oyo,Atiba,oyo_atiba
Oyo Central,Oyo,Afijio,oyo_afijio
Oyo North,Oyo,Oriire,oyo_oriire
Oyo North,Oyo,Ogbomoso North,oyo_ogbomoso_north
Oyo North,Oyo,Irepo,oyo_irepo
Oyo North,Oyo,Saki West,oyo_saki_west
Oyo North,Oyo,Kajola,oyo_kajola
Oyo North,Oyo,Ogbomoso South,oyo_ogbomoso_south
Oyo North,Oyo,Iseyin,oyo_iseyin
Oyo North,Oyo,Iwajowa,oyo_iwajowa
Oyo North,Oyo,Saki East,oyo_saki_east
Oyo North,Oyo,Atisbo,oyo_atisbo
Oyo North,Oyo,Orelope,oyo_orelope
Oyo North,Oyo,Itesiwaju,oyo_itesiwaju
Oyo North,Oyo,Olorunsogo,oyo_olorunsogo
Oyo South,Oyo,Ibadan North East,oyo_ibadan_north_east
Oyo South,Oyo,Ibarapa East,oyo_ibarapa_east
Oyo South,Oyo,Ibadan South East,oyo_ibadan_south_east
Oyo South,Oyo,Ibadan South West,oyo_ibadan_south_west
Oyo South,Oyo,Ibadan North West,oyo_ibadan_north_west
Oyo South,Oyo,Ibadan North,oyo_ibadan_north
Oyo South,Oyo,Ibarapa North,oyo_ibarapa_north
Oyo South,Oyo,Ibarapa Central,oyo_ibarapa_central
Oyo South,Oyo,Ido,oyo_ido
