"lga_id","pop_2006","lga","state","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga","longitude","latitude"
271,163647,"Gwer East","Benue","North-Central",2293.945926,"Others",71.3386475876328,"benue_gwer_east",8.41682746178276,7.40387007038841
272,122145,"Gwer West","Benue","North-Central",1093.949065,"113",111.655107086727,"benue_gwer_west",8.20415880993071,7.65163597676667
273,124517,"Gwiwa","Jigawa","Northwest",450.2423204,"Others",276.555522122793,"jigawa_gwiwa",8.28531682356126,12.7550813625143
274,276312,"Gwoza","Borno","Northeast",2877.717929,"Others",96.0177497646608,"borno_gwoza",13.5884372384457,11.1767616541009
275,105628,"Hadejia","Jigawa","Northwest",32.46903988,"Others",3253.19135984258,"jigawa_hadejia",10.0456760790457,12.4704262091971
276,120314,"Hawul","Borno","Northeast",2095.253027,"Others",57.422181688608,"borno_hawul",12.2731001307138,10.4572289346454
277,169126,"Hong","Adamawa","Northeast",2621.70324,"Others",64.509971006482,"adamawa_hong",12.9200206310757,10.3039201870325
278,306795,"Ibadan North","Oyo","Southwest",27.29787875,"Others",11238.7853580015,"oyo_ibadan_north",3.91331218995305,7.40610375844054
279,330399,"Ibadan North East","Oyo","Southwest",17.90617077,"Others",18451.6837376281,"oyo_ibadan_north_east",3.93473976003575,7.36068305864731
280,152834,"Ibadan North West","Oyo","Southwest",25.98089141,"Others",5882.55412749905,"oyo_ibadan_north_west",3.88434901627758,7.3876321133223
281,266046,"Ibadan South East","Oyo","Southwest",16.87535101,"Others",15765.3609600385,"oyo_ibadan_south_east",3.91150807072079,7.32772969562107
282,282585,"Ibadan South West","Oyo","Southwest",40.37622405,"Others",6998.79710519885,"oyo_ibadan_south_west",3.87200811699345,7.34646665845531
283,128129,"Ibaji","Kogi","North-Central",1377.374211,"Others",93.0241026561517,"kogi_ibaji",6.7704463718493,6.81761373260668
284,102979,"Ibarapa Central","Oyo","Southwest",440.6734031,"Others",233.685535082387,"oyo_ibarapa_central",3.25478508889681,7.42462854546315
285,118226,"Ibarapa East","Oyo","Southwest",838.8874459,"Others",140.931898048804,"oyo_ibarapa_east",3.49459850704917,7.60077635031255
286,101092,"Ibarapa North","Oyo","Southwest",1219.702735,"113",82.8824902159459,"oyo_ibarapa_north",3.16589148230295,7.64033498843923
287,117481,"Ibeju/lekki","Lagos","Southwest",455.3042673,"113",258.027452052392,"lagos_ibeju_lekki",3.86960563441176,6.47105447486078
288,75380,"Ibeno","Akwa Ibom","South-South",243.2822484,"Others",309.845870365608,"akwa_ibom_ibeno",8.07097753035491,4.5618125174442
289,137101,"Ibesikpo-Asutan","Akwa Ibom","South-South",154.4795722,"Others",887.502457752145,"akwa_ibom_ibesikpo_asutan",7.95537606351637,4.92325687193225
290,84054,"Ibi","Taraba","Northeast",2670.165966,"148",31.4789421595077,"taraba_ibi",9.8078072773811,8.34606936775052
291,189640,"Ibiono-Ibom","Akwa Ibom","South-South",336.9332489,"148",562.841454855303,"akwa_ibom_ibiono_ibom",7.88477921025826,5.20674837432089
292,79815,"Idah","Kogi","North-Central",35.86498674,"Others",2225.42951370962,"kogi_idah",6.71846953039048,7.08060096865392
293,129024,"Idanre","Ondo","Southwest",1915.218309,"Others",67.3677770276579,"ondo_idanre",5.19879953923541,6.97508871688144
294,158406,"Ideato North","Imo","Southeast",190.2519118,"Others",832.611869711577,"imo_ideato_north",7.13082551340573,5.87975555700656
295,159879,"Ideato South","Imo","Southeast",88.49410163,"Others",1806.66278379168,"imo_ideato_south",7.13653759231608,5.80754893871021
296,430783,"Idemili North","Anambra","Southeast",115.4812102,"Others",3730.32980217244,"anambra_idemili_north",6.88238832974671,6.1298297200185
297,207683,"Idemili South","Anambra","Southeast",137.0704782,"Others",1515.15485119246,"anambra_idemili_south",6.88468896988176,6.07244187573088
298,103261,"Ido","Oyo","Southwest",987.3803117,"148",104.580776805457,"oyo_ido",3.72267386427401,7.51161410817577
299,159114,"Ido Osi","Ekiti","Southwest",231.7622731,"Others",686.539693763471,"ekiti_ido_osi",5.18624797165932,7.85722476718265
300,427878,"Ifako-Ijaye","Lagos","Southwest",26.65039245,"Others",16055.2232318065,"lagos_ifako_ijaye",3.31230538187983,6.65822096681056
301,37058,"Ifedayo","Osun","Southwest",128.34704,"148",288.732798200878,"osun_ifedayo",4.98961415203452,7.97910664093263
